Unnamed:_3,count
99999,31
Identificadores unicos,9
"Si, No, 99999",5
"No, Si, 99999",4
"Sur, 99999, Este",2
"99999, A, B",2
"Si, No",2
"1- Hombre, 2- Mujer, 3- intersexual, 99999",2
"3223185759, 3143261254, 3216122022, 3123104339, 3028664374, 3219327178, 3103354734, 3232071588, 3202885286, 3222888431",2
"99999, Sur, Este",2
"2. Bajo, 1. Bajo-bajo, 3. Medio-bajo",2
"Tecnologo en Salud Ocupacional, Trabajador social, 9999",2
"Trabajador social, Psicologo, 99999",2
"Colombia, Venezuela (Bolivarian Republic of), Brazil",1
"2- RC, 3- TI, 8- Menor sin ID., 13- PPT Permiso por Proteccion Temporal, 12- Documento Nacional de Identidad (del pais de origen), 4- CE",1
9999/NINOS NINAS/ADOLESCENTES/SEGUIMIENTO AL EFECTO,1
numerica,1
"Sur, Centro Oriente, Suroccidente, Norte,1,2,3,4",1
"99999, solo numeric",1
"2. Ninos - Ninas, 3. Adolescentes, 5. Seguimiento al efecto, 99999",1
2021 - 2025,1
nombres localidades,1
"6- No aplica, 1- Soltero(a), 5- Union Libre",1
2000-2025,1
"99999, Inga, Muisca",1
"99999, Si",1
"No aplica, 5- Discapacidad Cognitiva, Discapacidad Fisica, 3- Discapacidad Visual, 6- Discapacidad Multiple",1
"11- Ninguno, 3- Estudiante, 2- Trabajo informal, 19-En acompanamiento laboral, 4- Oficios del hogar",1
"14- No Aplica, 13- Migrante, 2- Discapacidad, 1- Victima del conflicto armado",1
"6- Ninguno, 5- Afrocolombian/Afrodescendiente, 1- Indigena",1
